"","pcor","node1","node2","pval","qval","prob","fdr"
"137",0.00194029950315968,13,19,0.698260435845025,0.873505299423626,1.11022302462516e-16,1
"138",0.00192237452549173,2,9,0.7009129557301,0.873923650012328,1.11022302462516e-16,1
"139",0.00187636387385079,2,14,0.707738209289836,0.874987503017448,1.11022302462516e-16,1
"140",0.00187053684316023,4,20,0.708604286538384,0.875121216283707,1.11022302462516e-16,1
"141",-0.00183397751029649,10,15,0.714046695911039,0.87595496471655,1.11022302462516e-16,1
"142",-0.0017839345210686,9,18,0.721519948246879,0.877081852877283,1.11022302462516e-16,1
"143",0.0017806488446183,3,18,0.722011560623046,0.877155265566968,1.11022302462516e-16,1
"144",0.00174309873465115,10,11,0.727638025386442,0.87798926540952,1.11022302462516e-16,1
"145",-0.00169367356819533,10,16,0.735066228515406,0.87907314329404,1.11022302462516e-16,1
"146",-0.00146170434604348,6,10,0.770250808653701,0.883955995960701,1.11022302462516e-16,1
"147",0.00143538962472276,2,3,0.774273743042174,0.884489286279796,1.11022302462516e-16,1
"148",-0.00143276188062048,3,14,0.774675801580367,0.884542314882052,1.11022302462516e-16,1
"149",-0.001420688610834,8,16,0.776523849841321,0.884785434116554,1.11022302462516e-16,1
"150",-0.00136839923212972,10,18,0.784542239480737,0.885828538765598,1.11022302462516e-16,1
"151",0.00135384083348311,4,19,0.786778834420234,0.886116134786932,1.11022302462516e-16,1
"152",-0.00132601462622713,12,19,0.791058635101106,0.886662440042117,1.11022302462516e-16,1
"153",-0.00132215868411102,1,18,0.79165219744962,0.886737793120657,1.11022302462516e-16,1
"154",0.00119820040579551,2,12,0.810796191571702,0.889115531503235,1.11022302462516e-16,1
"155",0.00119268522146618,1,15,0.811650678420979,0.889219335922741,1.11022302462516e-16,1
"156",0.00116755663576484,2,8,0.815546764018869,0.889690185717087,1.11022302462516e-16,1
"157",-0.00110600398481646,5,17,0.82510935227543,0.890829051308424,1.11022302462516e-16,1
"158",-0.00106676493157936,2,13,0.831219052611298,0.891544460491975,1.11022302462516e-16,1
"159",0.00105734718458345,4,5,0.83268697289894,0.891714950326606,1.11022302462516e-16,1
"160",-0.00104334676531594,5,16,0.834870259857044,0.891967536386409,1.11022302462516e-16,1
"161",-0.00103800866707094,4,8,0.835703042594951,0.892063571447261,1.11022302462516e-16,1
"162",0.000972582464798655,6,9,0.845924702057669,0.893228556475229,1.11022302462516e-16,1
"163",-0.000970443832315874,8,9,0.846259272589637,0.893266263328659,1.11022302462516e-16,1
"164",-0.000916663699232089,8,13,0.854681665822098,0.894206789323772,1.11022302462516e-16,1
"165",-0.000916204397590622,6,12,0.854753668872107,0.8942147584288,1.11022302462516e-16,1
"166",-0.000811295978457745,4,9,0.871230302323025,0.896007312001419,1.11022302462516e-16,1
"167",0.000749712136556988,12,14,0.880929067103508,0.897034352017696,1.11022302462516e-16,1
"168",-0.00073815557470529,6,14,0.882751133137135,0.897225038352022,1.11022302462516e-16,1
"169",-0.000661220975517803,15,20,0.894896390643929,0.898478262829436,1.11022302462516e-16,1
"170",-0.000652410483975076,7,12,0.896288884910497,0.898619998944649,1.11022302462516e-16,1
"171",-0.000627551447592901,8,18,0.900219553411903,0.899017958223358,1.11022302462516e-16,1
"172",-0.000626568675262269,4,10,0.900374998640457,0.899033632014478,1.11022302462516e-16,1
"173",0.000606009868298815,3,9,0.903627654871612,0.89936049006827,1.11022302462516e-16,1
"174",0.000598264083535166,3,19,0.904853555896996,0.899483131905427,1.11022302462516e-16,1
"175",-0.000498142660073083,8,20,0.920718833425478,0.901043781805992,1.11022302462516e-16,1
"176",-0.000399932526450023,8,10,0.936312003280884,0.902531152120173,1.11022302462516e-16,1
"177",-0.000387133292392594,8,14,0.938346112459392,0.902721887388855,1.11022302462516e-16,1
"178",-0.000374215685591718,2,4,0.940399441874659,0.902913669294538,1.11022302462516e-16,1
"179",0.000336364659879196,5,19,0.94641831581792,0.903471502879055,1.11022302462516e-16,1
"180",-0.000328052461012567,17,20,0.947740500283412,0.903593186213566,1.11022302462516e-16,1
"181",-0.000296414684675092,5,11,0.952774265879325,0.904053659996023,1.11022302462516e-16,1
